movie_id,genre_id
446,14
446,7
446,4
446,5
447,1
447,9
447,17
447,5
448,9
448,17
448,16
449,2
449,8
449,9
449,10
449,3
449,21
450,9
451,1
451,2
451,9
452,9
452,14
452,7
453,12
453,5
454,9
454,14
454,7
455,2
455,8
455,9
455,10
455,4
456,1
456,17
456,4
456,5
457,9
457,10
457,3
457,7
458,17
458,14
458,5
459,9
459,7
460,1
460,2
460,17
460,14
460,4
460,5
461,1
461,17
461,5
462,1
462,12
462,5
463,2
463,14
463,15
463,7
463,19
464,1
464,2
464,14
464,5
465,9
465,10
465,4
466,3
466,18
466,12
466,5
467,2
467,8
467,9
467,10
467,3
467,4
467,16
468,2
468,9
468,17
468,10
468,12
469,14
469,4
469,5
470,1
470,17
470,12
470,7
470,5
471,1
471,14
471,19
472,1
472,2
472,9
472,7
473,2
473,8
473,9
473,10
474,2
474,8
474,10
474,13
475,9
475,10
475,7
476,1
476,2
476,10
476,4
476,5
477,14
477,12
477,4
477,5
478,14
478,7
479,8
479,9
479,10
479,3
480,9
480,10
480,3
481,8
481,10
481,3
481,21
482,1
482,2
482,4
483,1
483,2
483,10
483,3
483,5
484,1
484,17
484,5
485,1
485,2
485,13
486,14
486,3
486,7
487,9
487,3
488,1
488,2
488,9
488,3
488,5
489,1
489,9
489,4
490,14
490,18
490,12
490,4
491,1
491,2
491,14
491,5
492,1
492,4
492,5
493,14
493,15
493,5
494,1
494,2
494,14
494,5
495,2
495,8
495,10
496,1
496,2
496,4
497,2
497,8
497,9
497,10
497,3
497,4
498,14
498,11
498,7
499,1
499,2
499,4
500,1
500,2
500,14
500,4
501,2
501,9
501,14
501,10
501,3
502,1
502,2
502,3
503,1
503,4
503,5
504,2
504,8
504,10
504,3
505,6
505,14
506,1
506,2
506,18
506,4
506,5
507,1
507,2
507,14
507,15
507,7
508,8
508,10
509,20
509,14
510,2
510,8
510,14
510,10
510,11
511,1
511,2
511,9
511,10
511,3
511,4
512,8
512,9
512,10
512,3
512,4
513,17
